X,Y,Z,Vx,Vy,Vz,t
-0.092466282,2.185974749,1.230718942,1.537556219,9.770885779,-44.10281962,0.287508965
-0.092466282,2.185974749,1.230718942,1.537556219,9.770885779,-44.10281962,0.357604027
-0.092466282,2.185974749,1.230718942,1.537556219,9.770885779,-44.10281962,0.425399065
-0.092466282,2.185974749,1.230718942,1.537556219,9.770885779,-44.10281962,0.485538006
-0.092466282,2.185974749,1.230718942,1.537556219,9.770885779,-44.10281962,0.544420004
-0.092466282,2.185974749,1.230718942,1.537556219,9.770885779,-44.10281962,0.607177258
-0.092466282,2.185974749,1.230718942,1.537556219,9.770885779,-44.10281962,0.669005156
-0.092466282,2.185974749,1.230718942,1.537556219,9.770885779,-44.10281962,0.733775139
-0.092466282,2.185974749,1.230718942,1.537556219,9.770885779,-44.10281962,0.791504145
-0.092466282,2.185974749,1.230718942,1.537556219,9.770885779,-44.10281962,0.857453108
-0.092466282,2.185974749,1.230718942,1.537556219,9.770885779,-44.10281962,0.928911209
-0.092466282,2.185974749,1.230718942,1.537556219,9.770885779,-44.10281962,1.022548914
-0.092466282,2.185974749,1.230718942,1.537556219,9.770885779,-44.10281962,1.110233068
-0.092466282,2.185974749,1.230718942,1.537556219,9.770885779,-44.10281962,1.174601316
-0.092466282,2.185974749,1.230718942,1.537556219,9.770885779,-44.10281962,1.236765146
-0.092466282,2.185974749,1.230718942,1.537556219,9.770885779,-44.10281962,1.309865952
-0.092466282,2.185974749,1.230718942,1.537556219,9.770885779,-44.10281962,1.369930029
-0.092466282,2.185974749,1.230718942,1.537556219,9.770885779,-44.10281962,1.424715042
-0.203997746,1.477212894,4.429855333,1.537556219,9.770885779,-44.10281962,1.48368001
-0.305187418,0.981888579,6.721458965,34.49829402,219.2302865,-989.5391269,1.543762207
-0.303453874,1.467606441,4.117617847,37.35203345,237.3652735,-1071.394967,1.603123903
-0.304549888,1.537581782,3.975075454,34.48812054,219.1656359,-989.2473135,1.660856009
-0.195672374,1.870278684,2.390639233,37.62844811,239.1218376,-1079.323565,1.721930027
-0.25301196,1.753506869,2.811127359,36.07316988,229.2383317,-1034.712412,1.783017159
-0.298105798,1.640534528,3.325741316,31.74732725,201.7484008,-910.6311884,1.845012903
-0.670450342,0.116209339,4.657588416,37.12673547,235.9335465,-1064.932584,1.908200264
-0.555025567,0.478701339,3.725525456,35.00687473,222.462223,-1004.127109,1.973991156
-0.483155024,0.804087854,3.044555495,25.76967261,163.7615097,-739.1698651,2.032202005
-0.305099078,1.420787191,1.905013398,29.10451484,184.9538161,-834.8255186,2.094253063
-0.30083021,1.538936426,1.733609432,35.34009722,224.5797904,-1013.685167,2.15324688
-0.381318926,1.445991269,1.968929446,26.82321485,170.456576,-769.389367,2.206582069
-0.432744629,1.527691491,2.019923403,30.17849603,191.7787682,-865.6312858,2.264889002
-0.422548109,1.620459625,1.9510693,27.0387184,171.8260612,-775.5708087,2.325462103
-0.391586128,1.705158225,1.81777908,41.04561437,260.837298,-1177.340577,2.384896994
-0.380335133,1.728978835,1.773597224,33.52421291,213.040181,-961.5988649,2.440432072
-0.399166175,1.671873006,1.87401755,33.34499016,211.9012535,-956.4580911,2.497128248
-0.418754982,1.579054591,1.935933016,38.10661999,242.1605316,-1093.039309,2.557672262
-0.345234461,1.633703011,1.528863911,37.7161863,184.6210571,-854.1439865,2.613173962
-0.322583569,1.611618176,1.418887567,-0.610240141,-170.9818188,916.6010252,2.669893026
-0.331575429,1.522681433,3.318251101,0.257521671,-16.44153577,33.49202455,2.731130123
-0.457000558,0.936259527,1.895713403,-27.5298645,-84.12297724,400.627392,2.794217348
-0.446465042,1.062462745,1.846676068,18.09356399,36.8474639,-132.6854519,2.858587265
-0.516160029,0.959096154,2.134108304,10.11970398,25.35261338,-115.4867513,2.921236992
-0.400355175,1.453239804,1.649507664,94.50116225,386.8742124,-338.0232129,2.983076096
-0.424333873,1.47378206,1.734907636,-35.98116629,-112.9990073,290.5503828,3.039645195
-0.464900016,1.519491097,1.89796802,-21.60135499,-97.79791935,204.6718045,3.115891218
-0.523298256,1.518965135,2.135106036,-58.05509676,-201.0746653,371.5474174,3.177263021
-0.340649506,1.692712954,1.551565877,-1.200867275,-33.23633877,48.21732644,3.235789061
-0.712393939,1.271842052,3.058224404,19.76199392,22.82036197,-57.77695225,3.296756029
-0.792808654,1.106652656,3.510743557,13.51218653,-21.46686491,-13.39874431,3.359328985
-0.689914495,1.310813844,2.939326534,-3.27342557,-29.78168811,22.1044804,3.42344594
-0.310458687,1.938330676,1.264337801,-8.594001803,-23.50947504,36.99687015,3.486152172
-0.447533778,1.664380952,1.925868754,-2.738673959,-5.798321819,10.75457802,3.543977261
-0.57714307,1.398724619,2.626552989,5.821279128,17.65324354,-31.04314375,3.601945162
-0.568125224,1.411477476,2.671202275,5.81632526,27.55972312,-18.38399297,3.660306215
-0.552524584,1.428966082,2.704755228,-26.42394302,-19.64113829,146.3043336,3.725913048
-0.504091298,1.512990521,2.492043524,-8.543590724,8.330081947,41.48149458,3.790425062
-0.526560661,1.461911619,2.626428454,3.266181327,32.30516466,-689.9201581,3.852446318
-0.516765253,1.465522125,2.598420001,38.19305358,178.5706219,433.1752254,3.906934977
-0.455299438,1.574522912,2.296826906,-3.367049305,-40.33333294,15.67186017,3.96173811
-0.433285774,1.591211613,2.235777283,20.02616697,29.70137062,-82.59081872,4.01841712
-0.477803452,1.48482499,2.494220422,-34.12877749,-145.6287724,142.8163577,4.074356079
-0.446982073,1.525856005,2.370621179,5.898765283,-5.053399875,-21.00841316,4.131184101
-0.455241285,1.48616619,2.463548135,9.169859202,-10.3323953,-36.85932741,4.18661809
-0.50779684,1.375081792,2.752019774,20.08857308,0.180927102,-81.57376607,4.246343136
-0.415674752,1.559920278,2.275289498,-62.87110242,-59.80723619,200.8653939,4.304711103
-0.486821756,1.409287274,2.656937333,89.04169743,100.8086636,-360.8808114,4.362728119
-0.451279192,1.478898069,2.463272769,19.80178224,40.67718801,-111.4309218,4.422433138
-0.437895607,1.486148275,2.38826261,-31.08617592,-61.68076689,172.63536,4.483399153
-0.430774862,1.491224268,2.341091546,-107.3198256,-177.4778394,473.7297332,4.546627045
-0.430098177,1.468372353,2.326685483,31.33841725,62.63100539,-151.2407022,4.606706142
-0.386320495,1.55495282,2.131726396,30.97730774,63.49327133,-167.4672453,4.666561127
-0.435919946,1.437619692,2.40150057,-2.778898515,-3.929862485,-13.75892147,4.727130175
-0.432413521,1.436359492,2.365986432,-4.044868003,-4.534371714,-8.699467306,4.785262108
-0.416962575,1.454915002,2.276880486,-12.05673466,-20.9166146,52.95136497,4.843984127
-0.460140312,1.287288637,2.469700577,5.599057469,12.72816324,-33.48688506,4.901375055
-0.434081476,1.266269522,2.323337722,-2.376911709,-0.876110055,6.79641123,4.963385105
-0.351119785,1.391663346,1.95120893,-18.24789866,-32.36002531,89.53660274,5.025508165
-0.313357253,1.412723866,1.852937846,-7.296664951,-5.531648781,20.23555234,5.084991932
-0.346576273,1.308547579,2.036944517,13.98656737,33.42455723,-81.19768502,5.143801212
-0.314413356,1.331199946,2.000143941,-10.20237034,-13.58192333,40.91332973,5.20188117
-0.318846098,1.200922066,2.295475804,2.928783109,14.07432763,-32.95264665,5.259829998
-0.351615339,1.101632122,2.495223162,17.16374482,36.27826354,-94.20990025,5.323731184
-0.297274238,1.771435432,2.43621102,-26.87355966,-53.92048987,139.0702256,5.383864164
-0.217860739,1.945700978,1.864802505,22.10133053,46.79311312,-118.5562911,5.445192099
-0.205383439,1.963717982,1.803832833,-11.6493177,-22.81541272,63.47488154,5.523061991
-0.231918663,1.91088064,1.957504511,-3.778596223,-2.046955326,21.17766621,5.579409122
-0.233220115,1.916518714,1.912083599,-1.923401028,-1.371088303,12.74148513,5.635470152
-0.22824352,1.927854956,1.87217727,-0.19445202,6.566722464,4.139723845,5.693227053
-0.232085701,1.925232073,1.883721411,-10.06892441,-19.91362136,44.84084643,5.755826235
-0.216188029,1.546977077,1.658223581,15.73520734,37.22341791,-85.58466812,5.816243172
-0.252636513,1.481062596,1.699472348,-0.809278277,0.290852339,8.196615525,5.875408173
-0.288358115,1.467388707,1.713035378,-4.369334165,-5.247266092,25.1980465,5.932784081
-0.309753644,1.494692186,1.721278217,9.908116598,38.46569281,-44.24696793,5.997407913
-0.334960524,1.542847225,1.747976094,-6.798449927,5.483645008,38.18438183,6.060625076
-0.277391462,1.839566152,1.388904381,-20.67906052,-31.2557093,92.75695513,6.124409199
-0.42010982,1.79185393,1.731818211,-8.753110744,-4.881692319,22.77860182,6.190175056
-0.366315398,1.995784159,1.412045293,7.636649389,23.94886371,-42.30089992,6.253881216
-0.409351497,1.989434726,1.471963618,-8.293947326,-5.841433345,9.489874355,6.316303015
-0.503525989,1.942165484,1.678646812,1.332301467,39.15621885,-88.7647164,6.377690077
-0.38262735,2.118810359,1.13974172,10.57425441,32.03971439,-64.4561578,6.437335014
-0.33424033,2.158930918,0.884404116,-13.60653668,-167.712895,14.7761246,6.522557259
-0.423421226,2.006419108,0.900069323,-18.35276641,-40.27344074,132.0547147,6.58170104
-0.392279965,1.347443959,2.252705757,-2.97789861,-4.300033653,14.55134528,6.645252228